clean_log,costBB,costGD,costRX,costSB,dump,fnmr,solver,timeBB,timeGD,timeSB,timeoutBB,tmax,verbose,|E|,|S|,|V|
True,114.0,114.0,114.0,114.0,False,data/nmr/1fw5_chain_A_dmax_5.nmr,BB,0.0,0.0,0.0,0.0,7200,False,243,57,60
True,7716.0,7716.0,7716.0,7716.0,False,data/nmr/1epw_chain_A_dmax_5.nmr,BB,0.0,29.0,0.0,0.0,7200,False,11614,3857,3861
True,234.0,234.0,234.0,234.0,False,data/nmr/1adx_chain_A_dmax_5.nmr,BB,0.0,0.0,0.0,0.0,7200,False,305,117,120
True,44.0,44.0,44.0,44.0,False,data/nmr/1n6t_chain_A_dmax_4.nmr,BB,0.0,0.0,0.0,0.0,7200,False,16,14,30
True,,,39108.0,,False,data/nmr/6rn2_chain_A_dmax_4.nmr,BB,,,,,7200,False,1076,1111,2052
True,,,8668430.0,,False,data/nmr/3vkh_chain_A_dmax_4.nmr,BB,,,,,7200,False,4317,5134,9126
True,4100.0,4100.0,4100.0,4100.0,False,data/nmr/6rn2_chain_A_dmax_6.nmr,BB,0.0,46.0,0.0,0.0,7200,False,13769,2046,2052
True,,,6858.0,,False,data/nmr/4wua_chain_A_dmax_4.nmr,BB,,,,,7200,False,447,538,1032
True,1998.0,1998.0,1998.0,1998.0,False,data/nmr/1fhl_chain_A_dmax_7.nmr,BB,0.0,53.0,0.0,0.0,7200,False,10086,999,1002
True,1081966.0,1081966.0,1342.0,2163816.0,False,data/nmr/1adx_chain_A_dmax_4.nmr,BB,7201.0,0.0,0.0,1.0,7200,False,36,50,120
True,,,2792320.0,,False,data/nmr/6czf_chain_A_dmax_4.nmr,BB,,,,,7200,False,552,697,1494
True,954.0,954.0,954.0,954.0,False,data/nmr/1all_chain_A_dmax_5.nmr,BB,0.0,0.0,0.0,0.0,7200,False,2009,477,480
True,104.0,104.0,104.0,104.0,False,data/nmr/1fw5_chain_A_dmax_4.nmr,BB,0.0,0.0,0.0,0.0,7200,False,48,39,60
True,2058.0,2058.0,2058.0,2058.0,False,data/nmr/4wua_chain_A_dmax_7.nmr,BB,0.0,19.0,0.0,0.0,7200,False,9494,1029,1032
True,3898.0,3898.0,3898.0,3898.0,False,data/nmr/5ijn_chain_A_dmax_5.nmr,BB,0.0,12.0,0.0,0.0,7200,False,6137,1941,1950
True,1998.0,1998.0,1998.0,1998.0,False,data/nmr/1fhl_chain_A_dmax_6.nmr,BB,0.0,21.0,0.0,0.0,7200,False,6811,999,1002
True,954.0,954.0,954.0,954.0,False,data/nmr/1all_chain_A_dmax_6.nmr,BB,0.0,2.0,0.0,0.0,7200,False,3498,477,480
True,54.0,54.0,54.0,54.0,False,data/nmr/1n6t_chain_A_dmax_7.nmr,BB,0.0,0.0,0.0,0.0,7200,False,175,27,30
True,3896.0,3896.0,3896.0,3898.0,False,data/nmr/5ijn_chain_A_dmax_6.nmr,BB,0.0,59.0,0.0,0.0,7200,False,12422,1944,1950
True,4100.0,4100.0,4100.0,4100.0,False,data/nmr/6rn2_chain_A_dmax_7.nmr,BB,0.0,92.0,0.0,0.0,7200,False,18648,2047,2052
True,2982.0,2982.0,2982.0,2982.0,False,data/nmr/6czf_chain_A_dmax_6.nmr,BB,0.0,27.0,0.0,0.0,7200,False,9687,1491,1494
True,22336.0,22336.0,18272.0,22392.0,False,data/nmr/3vkh_chain_A_dmax_5.nmr,BB,7201.0,234.0,0.0,1.0,7200,False,32220,9097,9126
True,18312.0,18312.0,18264.0,18326.0,False,data/nmr/3vkh_chain_A_dmax_6.nmr,BB,7201.0,1043.0,0.0,1.0,7200,False,60249,9101,9126
True,15194.0,15194.0,15188.0,15284.0,False,data/nmr/5np0_chain_A_dmax_6.nmr,BB,7201.0,896.0,0.0,1.0,7200,False,57591,7550,7584
True,5714.0,5714.0,5714.0,5722.0,False,data/nmr/6bco_chain_A_dmax_7.nmr,BB,0.0,151.0,0.0,0.0,7200,False,25374,2844,2856
True,474.0,474.0,474.0,474.0,False,data/nmr/1bdo_chain_A_dmax_7.nmr,BB,0.0,3.0,0.0,0.0,7200,False,2168,237,240
True,18256.0,18256.0,18256.0,18312.0,False,data/nmr/3vkh_chain_A_dmax_7.nmr,BB,0.0,2330.0,0.0,0.0,7200,False,83354,9111,9126
True,,,270873538.0,,False,data/nmr/1epw_chain_A_dmax_4.nmr,BB,,,,,7200,False,1382,1788,3861
True,2982.0,2982.0,2982.0,2982.0,False,data/nmr/6czf_chain_A_dmax_7.nmr,BB,0.0,72.0,0.0,0.0,7200,False,14389,1491,1494
True,1026.0,1026.0,1026.0,1026.0,False,data/nmr/6s61_chain_A_dmax_5.nmr,BB,0.0,0.0,0.0,0.0,7200,False,2042,513,516
True,2060.0,2060.0,2060.0,2060.0,False,data/nmr/4wua_chain_A_dmax_5.nmr,BB,0.0,2.0,0.0,0.0,7200,False,3402,1027,1032
True,234.0,234.0,234.0,234.0,False,data/nmr/1adx_chain_A_dmax_6.nmr,BB,0.0,0.0,0.0,0.0,7200,False,654,117,120
True,15276.0,15276.0,15202.0,15380.0,False,data/nmr/5np0_chain_A_dmax_5.nmr,BB,7201.0,292.0,0.0,1.0,7200,False,36732,7536,7584
True,,,263876.0,,False,data/nmr/4rh7_chain_A_dmax_4.nmr,BB,,,,,7200,False,4658,5137,9015
True,18032.0,18032.0,18032.0,18032.0,False,data/nmr/4rh7_chain_A_dmax_7.nmr,BB,0.0,2991.0,0.0,0.0,7200,False,80711,9004,9015
True,7716.0,7716.0,7716.0,7716.0,False,data/nmr/1epw_chain_A_dmax_7.nmr,BB,0.0,465.0,0.0,0.0,7200,False,34880,3858,3861
True,,,16958886.0,,False,data/nmr/5np0_chain_A_dmax_4.nmr,BB,,,,,7200,False,8662,5600,7584
True,1026.0,1026.0,1026.0,1026.0,False,data/nmr/6s61_chain_A_dmax_7.nmr,BB,0.0,5.0,0.0,0.0,7200,False,4811,513,516
True,234.0,234.0,234.0,234.0,False,data/nmr/1adx_chain_A_dmax_7.nmr,BB,0.0,0.0,0.0,0.0,7200,False,1032,117,120
True,17552.0,17552.0,17532.0,17554.0,False,data/nmr/5nug_chain_A_dmax_5.nmr,BB,7201.0,195.0,0.0,1.0,7200,False,30705,8738,8760
True,54.0,54.0,54.0,54.0,False,data/nmr/1n6t_chain_A_dmax_5.nmr,BB,0.0,0.0,0.0,0.0,7200,False,92,27,30
True,604031750.0,604031750.0,2824.0,1000000000.0,False,data/nmr/1bdo_chain_A_dmax_4.nmr,BB,7201.0,0.0,0.0,1.0,7200,False,56,97,240
True,1026.0,1026.0,1026.0,1026.0,False,data/nmr/6s61_chain_A_dmax_6.nmr,BB,0.0,2.0,0.0,0.0,7200,False,3606,513,516
True,474.0,474.0,474.0,474.0,False,data/nmr/1bdo_chain_A_dmax_5.nmr,BB,0.0,0.0,0.0,0.0,7200,False,625,237,240
True,18032.0,18032.0,18032.0,18032.0,False,data/nmr/4rh7_chain_A_dmax_6.nmr,BB,0.0,1253.0,0.0,0.0,7200,False,58792,9004,9015
True,474.0,474.0,474.0,474.0,False,data/nmr/1bdo_chain_A_dmax_6.nmr,BB,0.0,1.0,0.0,0.0,7200,False,1437,237,240
True,2058.0,2058.0,2058.0,2058.0,False,data/nmr/4wua_chain_A_dmax_6.nmr,BB,0.0,12.0,0.0,0.0,7200,False,6612,1028,1032
True,7716.0,7716.0,7716.0,7716.0,False,data/nmr/1epw_chain_A_dmax_6.nmr,BB,0.0,177.0,0.0,0.0,7200,False,23451,3858,3861
True,5696.0,5696.0,5696.0,5696.0,False,data/nmr/6bco_chain_A_dmax_5.nmr,BB,0.0,20.0,0.0,0.0,7200,False,10042,2839,2856
True,114.0,114.0,114.0,114.0,False,data/nmr/1fw5_chain_A_dmax_7.nmr,BB,0.0,0.0,0.0,0.0,7200,False,463,57,60
True,,,936426.0,,False,data/nmr/5nug_chain_A_dmax_4.nmr,BB,,,,,7200,False,3888,4725,8760
True,114.0,114.0,114.0,114.0,False,data/nmr/1fw5_chain_A_dmax_6.nmr,BB,0.0,0.0,0.0,0.0,7200,False,384,57,60
True,1998.0,1998.0,1998.0,1998.0,False,data/nmr/1fhl_chain_A_dmax_5.nmr,BB,0.0,2.0,0.0,0.0,7200,False,3378,999,1002
True,,,609048.0,,False,data/nmr/6bco_chain_A_dmax_4.nmr,BB,,,,,7200,False,1259,1420,2856
True,,,538013516.0,,False,data/nmr/5ijn_chain_A_dmax_4.nmr,BB,,,,,7200,False,761,917,1950
True,15180.0,15180.0,15180.0,15218.0,False,data/nmr/5np0_chain_A_dmax_7.nmr,BB,0.0,1931.0,0.0,0.0,7200,False,77520,7562,7584
True,1342.0,1342.0,864.0,1342.0,False,data/nmr/1all_chain_A_dmax_4.nmr,BB,7201.0,0.0,0.0,1.0,7200,False,284,269,480
True,,,168342.0,,False,data/nmr/1fhl_chain_A_dmax_4.nmr,BB,,,,,7200,False,435,540,1002
True,2982.0,2982.0,2982.0,2982.0,False,data/nmr/6czf_chain_A_dmax_5.nmr,BB,0.0,6.0,0.0,0.0,7200,False,4747,1491,1494
True,18032.0,18032.0,18032.0,18032.0,False,data/nmr/4rh7_chain_A_dmax_5.nmr,BB,0.0,294.0,0.0,0.0,7200,False,32307,9004,9015
True,17532.0,17532.0,17532.0,17534.0,False,data/nmr/5nug_chain_A_dmax_6.nmr,BB,0.0,847.0,0.0,0.0,7200,False,56443,8739,8760
True,3896.0,3896.0,3896.0,3904.0,False,data/nmr/5ijn_chain_A_dmax_7.nmr,BB,0.0,170.0,0.0,0.0,7200,False,18171,1945,1950
True,17524.0,17524.0,17524.0,17584.0,False,data/nmr/5nug_chain_A_dmax_7.nmr,BB,0.0,2165.0,0.0,0.0,7200,False,78595,8744,8760
True,854.0,854.0,852.0,854.0,False,data/nmr/6s61_chain_A_dmax_4.nmr,BB,7201.0,0.0,0.0,1.0,7200,False,275,273,516
True,5706.0,5706.0,5706.0,5708.0,False,data/nmr/6bco_chain_A_dmax_6.nmr,BB,0.0,58.0,0.0,0.0,7200,False,18528,2842,2856
True,954.0,954.0,954.0,954.0,False,data/nmr/1all_chain_A_dmax_7.nmr,BB,0.0,4.0,0.0,0.0,7200,False,4542,477,480
True,54.0,54.0,54.0,54.0,False,data/nmr/1n6t_chain_A_dmax_6.nmr,BB,0.0,0.0,0.0,0.0,7200,False,152,27,30
True,4102.0,4102.0,4102.0,4102.0,False,data/nmr/6rn2_chain_A_dmax_5.nmr,BB,0.0,14.0,0.0,0.0,7200,False,7560,2045,2052
